,finger x,finger y,finger z
0,-15.976924672798987,-16.083685511929957,-11.07632539720882
1,-15.83415985810177,-15.838857701254483,-10.907593043860686
2,-15.507361320644009,-15.357459668720708,-10.56985059336668
3,-14.982103975484051,-14.681158519394444,-10.087975861402754
4,-14.286457436142541,-13.850107373535536,-9.485031075112005
5,-13.471211862437826,-12.901287701573949,-8.781005549739263
6,-12.573511827042694,-11.868126558887582,-7.994008828934085
7,-11.615128451538226,-10.779212891598888,-7.142520215566606
8,-10.616521895016717,-9.65756321037503,-6.247959807257786
9,-9.59702721659994,-8.522069249004005,-5.332937884791278
10,-8.563654662353315,-7.390650510522789,-4.4139307011406
11,-7.510087629256645,-6.27925555095743,-3.499284424734128
12,-6.431632801053411,-5.197387660849984,-2.5949186534361957
13,-5.338945919234561,-4.147996900030648,-1.7047445723008536
14,-4.2548083167304185,-3.130872646551097,-0.8262507420475629
15,-3.194721344883078,-2.1443129215512613,0.047080849320479956
16,-2.158303593901678,-1.1874888353489155,0.9175577592586137
17,-1.1410104013975797,-0.26623425139860046,1.778288588170085
18,-0.14058393252014412,0.6043815289658028,2.615001131641037
19,0.8401340306392058,1.406014502933317,3.410503239770435
20,1.7860883730804744,2.1256817224823976,4.145662136483708
21,2.6782443433432945,2.761310150127372,4.797134534438641
22,3.5097018733551977,3.32489386413215,5.335858136735538
23,4.282651078753474,3.839113231848046,5.730756850581997
24,5.001340036287161,4.322773822096337,5.960697265308568
25,5.679364934735531,4.778713064801821,6.025821574489498
26,6.335548982519867,5.200643049832365,5.945732800356041
27,6.9790538575631444,5.59014030786642,5.749139200524667
28,7.613216469806616,5.962815450658354,5.46643960495885
29,8.24530516800337,6.339982293901869,5.126080236589559
30,8.887966998827324,6.739734711892709,4.753112286017824
31,9.563154032903753,7.175847404170099,4.368046935422143
32,10.298331981431375,7.658877807678266,3.9825387288274783
33,11.10683840686022,8.194080966397621,3.5972044396430647
34,11.980792223340586,8.77968425473341,3.2049558356952446
35,12.90495357227428,9.407996774392302,2.7930910863354086
36,13.86202244701451,10.065166859618557,2.342204334649267
37,14.832608762759492,10.730323040746725,1.825538375140212
38,15.802751129058379,11.37902159797477,1.2123104822912012
39,16.757128407846267,11.98801580673603,0.4774366509288086
40,17.666644970589118,12.536168592021113,-0.39080463118068565
41,18.502515888016546,13.001496432046622,-1.3949273804669815
42,19.25300315669176,13.355872325611529,-2.536168708292763
43,19.91157434289903,13.56092070849968,-3.8175626122587403
44,20.47266465865505,13.570812825662415,-5.246595635018281
45,20.949582779223874,13.343304939340328,-6.837912061286033
46,21.364949630623187,12.853339384761853,-8.607124003216171
47,21.72309483403012,12.101987771536926,-10.557734466249968
48,22.014035698788348,11.118700002917592,-12.677548243129166
49,22.230905522818034,9.960172425195424,-14.944186400349224
50,22.36927813673617,8.706374143152118,-17.32597812521064
51,22.419599141841218,7.450051541873393,-19.78031589237972
52,22.371714348054184,6.282771118485186,-22.255107816480546
53,22.22788630955108,5.285094247483357,-24.690397034781597
54,22.00613442126098,4.520498198132827,-27.021440036140376
55,21.728397344773498,4.030520288111461,-29.189403640138778
56,21.400667363266734,3.832678646858767,-31.160518658129632
57,21.00891600309751,3.920842387131529,-32.94513741040106
58,20.542219093698577,4.267807764975373,-34.60665446409905
59,20.00917243560707,4.832059431244318,-36.25812575949894
60,19.43504376697547,5.569210760612009,-38.04816357680707
61,18.853503315739317,6.446676108510019,-40.14171650591436
62,18.286210159459415,7.455578856855993,-42.704469251024335
63,17.727928985920016,8.612155152654566,-45.887380769844555
64,17.162503568172838,9.951621078670314,-49.80583675481043
65,16.571561331090834,11.522911592450669,-54.52344561129863
66,15.90707059709473,13.385271553929101,-60.044680278707574
67,15.074729965945721,15.604039780356516,-66.30855485439824
68,13.950327514962169,18.240235098296864,-73.1881184081864
69,12.391220451959839,21.33259134324561,-80.50562514659987
70,10.234434414783777,24.883794194764164,-88.05741129987865
71,7.304932517129714,28.857010844205888,-95.63586366727961
72,3.431371476594336,33.17408105985464,-103.04811234547984
73,-1.5480235421421185,37.71453364768007,-110.13775399206693
74,-7.779364111200948,42.32682880418537,-116.80282501468398
75,-15.366888658832067,46.851885464704424,-122.99784579296613
76,-24.3361424185764,51.14649507333979,-128.72517930399852
77,-34.6164825825781,55.10139611748599,-134.0269229771529
78,-46.052481228869624,58.65586969206049,-138.97344981813475
79,-58.41893376704377,61.80873838447809,-143.64595517780288
80,-71.42483534886424,64.62450531986264,-148.11879765222713
81,-84.72462866129149,67.23458324085385,-152.44514763515582
82,-97.93972457711675,69.83074760455565,-156.65703036180645
83,-110.6803386123687,72.64667473684483,-160.7876351990889
84,-122.5776222560313,75.92797039890087,-164.89700826946674
85,-133.3167740601482,79.8942389576709,-169.07461295464898
86,-142.65317950419387,84.70162490215216,-173.42004356254748
87,-150.4193914978771,90.41463713877107,-178.0223974527111
88,-156.52587416933272,96.9879530995783,-182.94107280271277
89,-160.9562402330056,104.25608685788745,-188.1834672526317
90,-163.74822193886018,111.94314340205835,-193.6930096577001
91,-164.9519692933339,119.7203880498634,-199.36360785511198
92,-164.60814292837256,127.3072847590413,-205.07741739943697
93,-162.76861682797517,134.56029921123047,-210.73585860178312
94,-159.50450105979996,141.50160959499658,-216.26342923477182
95,-154.88838137374472,148.28262899995082,-221.60203738853568
96,-149.01255316775774,155.10163785414477,-226.70841613597403
97,-142.0284502165785,162.1078260111446,-231.55189877289217
98,-134.13499859931477,169.32773644541044,-236.1187048463833
99,-125.53597007185147,176.63760636414594,-240.42123685986283
100,-116.41990004982006,183.7888937086518,-244.50255451471747
101,-106.95697276189975,190.47486440876327,-248.4365894644256
102,-97.2995694425336,196.40872789852892,-252.3286682862107
103,-87.58160660210024,201.38535136000257,-256.3091918370226
104,-77.90384199869038,205.30953921146988,-260.5123741473143
105,-68.31764976193,208.18809861997778,-265.0533218020747
106,-58.82271368544423,210.10284770088106,-270.01777642346883
107,-49.36517111385541,211.18595121794925,-275.45755839660126
108,-39.83591089062344,211.60420020255089,-281.3772445030995
109,-30.081150261018763,211.5516484305786,-287.70103577216054
110,-19.933117421672364,211.2468770594944,-294.2294170844573
111,-9.254648168081303,210.9218358246281,-300.6149312520492
112,2.030694197202365,210.79203821921766,-306.3704531272933
113,13.91831870883209,211.0127398744055,-310.91015160168035
114,26.301502037455293,211.63984110490475,-313.62422914069833
115,38.982635697806245,212.6175126255987,-313.9724430086179
116,51.7225763552176,213.7952760887032,-311.5693675013187
117,64.28919609485462,214.9583728742357,-306.24223173956545
118,76.47595515584982,215.86169726803917,-298.05307380839173
119,88.09788594537338,216.26325119427037,-287.28428398939695
120,98.98715839655381,215.9446594977723,-274.39609095960014
121,108.98243085324566,214.7166773927509,-259.97135325330055
122,117.91521138088257,212.42671790913903,-244.65793303354388
123,125.6314851680429,208.97686922734238,-229.11281237302637
124,132.03635113265477,204.34486616634473,-213.95155455459582
125,137.09552334909603,198.59800555832408,-199.70541534396347
126,140.79485705272532,191.88989693483904,-186.78809984572985
127,143.11342479175693,184.43245396670704,-175.4791718861206
128,144.0103232815062,176.44432958589107,-165.93218286281797
129,143.4034654435763,168.09502679326727,-158.20463638733884
130,141.17513606905874,159.4816886828596,-152.29835421397198
131,137.23732697097546,150.66118175836607,-148.19523497490115
132,131.61037829563327,141.72126523487094,-145.87458380042585
133,124.46013642585285,132.84830038475803,-145.3093117818671
134,116.09223493194065,124.35546006651776,-146.4455393188686
135,106.89292678752338,116.67043546987799,-149.17616896866903
136,97.23106303098916,110.29999509407418,-153.31879674619486
137,87.41115755408657,105.76839162187213,-158.5962379580099
138,77.7062593688953,103.5107475900503,-164.61876279159605
139,68.39895120944561,103.74063875723749,-170.8768918595709
140,59.77913326036344,106.36992021795066,-176.75841910747891
141,52.09119348583613,111.0390835676327,-181.60111465279806
142,45.4657507370797,117.22668145998227,-184.77393650926467
143,39.89363224998499,124.35846827757047,-185.75979933871167
144,35.23828544314256,131.86432272532045,-184.21509766234044
145,31.269151369784254,139.18336190321412,-179.99516253980997
146,27.731208391330142,145.74908675191978,-173.14462410450471
147,24.403685444141843,150.9852643527907,-163.86213877659728
148,21.093908493341473,154.3276393739177,-152.45922189846883
149,17.614098431991465,155.26575074854776,-139.3307785157516
150,13.793619704614457,153.38309050437715,-124.94199531507189
151,9.520585215597066,148.39105849701895,-109.82071107682768
152,4.777173827449133,140.17930202593476,-94.53664808475715
153,-0.3751214941019043,128.88325206268547,-79.65956229070592
154,-5.845283235260013,114.92243070193808,-65.70729609751692
155,-11.540619099108085,98.96818651802164,-53.10052741541149
156,-17.35710071616836,81.85358090046435,-42.13422324721883
157,-23.166016309218662,64.47211490475269,-32.971372412980315
158,-28.822697220732607,47.703471335381664,-25.6601694879679
159,-34.18183887909265,32.370283188633664,-20.16376516804197
160,-39.11762358511339,19.196139455416983,-16.384321661782053
161,-43.55268720169647,8.742756128143014,-14.176040139186163
162,-47.45674730962435,1.3465811083150925,-13.355749697610442
163,-50.80021960256431,-2.9054805233386105,-13.716085873431538
164,-53.51077901227086,-4.139918347433991,-15.04004992150243
165,-55.46272614607517,-2.6156353061423943,-17.111523736809353
166,-56.4894613514042,1.352406885274604,-19.720983622020682
167,-56.420403566662,7.424561899149751,-22.67771107688965
168,-55.12589479982921,15.22579449348882,-25.831419975840042
169,-52.528992456643664,24.31916066716866,-29.087178244147083
170,-48.59730156472608,34.18741260303193,-32.397695617266464
171,-43.354679188951195,44.23844900130547,-35.7326052978042
172,-36.900680160229626,53.84206217055265,-39.03742959125811
173,-29.42228285768067,62.39643006573914,-42.19621496812209
174,-21.210294170359134,69.4061763580649,-45.00983971957595
175,-12.66750581675069,74.54166225817005,-47.20589810078035
176,-4.279227478008352,77.65911136736747,-48.485552869111714
177,3.465242820311687,78.78052532272051,-48.58906810169117
178,10.168352948397796,78.05075495437563,-47.35898322668319
179,15.57015848415233,75.69452777939745,-44.78487750934956
180,19.544590944747142,71.97956908559888,-41.011791337258074
181,22.08881127401696,67.18664779977956,-36.308630729155134
182,23.29455575059569,61.599334969677955,-31.015247203284524
183,23.31646720459446,55.520299586490296,-25.489970945424822
184,22.365650052236674,49.29642190010952,-20.06672487979788
185,20.68933696773456,43.31564482022543,-15.027249872861859
186,18.51883517129238,37.94548017596355,-10.593421077707887
187,16.018281629754938,33.42971049458043,-6.933075381377662
188,13.258852083524175,29.813756780640688,-4.168782754814693
189,10.234999046787152,26.958502321271283,-2.3822915513740384
190,6.921010710613018,24.627652778683284,-1.6098519058305172
191,3.327173129363814,22.587436620781887,-1.8329142429251988
192,-0.47890929315030917,20.67797542984806,-2.9704190539980857
193,-4.379578842943488,18.851586270201892,-4.872393404923514
194,-8.228710214382318,17.181664717888623,-7.321268741885767
195,-11.875500635568415,15.834109133479046,-10.052611840853487
196,-15.179936097283075,15.001826386487949,-12.792197036426423
197,-18.03302006224783,14.831328771748531,-15.293164995020092
198,-20.391404287167347,15.36758817431405,-17.367489986916063
199,-22.297155048448758,16.51992778608502,-18.91573611996389
200,-23.863506873297524,18.05587223793026,-19.942344372011256
201,-25.2411599821869,19.6382225753311,-20.542812696363377
202,-26.57194057975687,20.902335911564762,-20.878378216773186
203,-27.935086127939712,21.545360616215703,-21.152459373817933
204,-29.32217377087909,21.384982252499185,-21.579793313551754
205,-30.679991401328266,20.36494400710609,-22.34610383036273
206,-31.983846051574005,18.52860560682501,-23.57296186585689
207,-33.260066769557284,15.986760159997004,-25.3027921575244
208,-34.5577745113701,12.882148694075113,-27.50917246614648
